date_id, file_name, date
399,WEBPXTICK_DT-20111110.gz,20111110
400,WEBPXTICK_DT-20111109.gz,20111109
401,WEBPXTICK_DT-20111108.gz,20111108
402,WEBPXTICK_DT-20111107.gz,20111107
403,WEBPXTICK_DT-20111104.gz,20111104
404,WEBPXTICK_DT-20111103.gz,20111103
405,WEBPXTICK_DT-20111102.gz,20111102
406,WEBPXTICK_DT-20111101.gz,20111101
407,WEBPXTICK_DT-20111031.gz,20111031
408,WEBPXTICK_DT-20111028.gz,20111028
409,WEBPXTICK_DT-20111027.gz,20111027
410,WEBPXTICK_DT-20111026.gz,20111026
411,WEBPXTICK_DT-20111025.gz,20111025
412,WEBPXTICK_DT-20111024.gz,20111024
413,WEBPXTICK_DT-20111021.gz,20111021
414,WEBPXTICK_DT-20111020.gz,20111020
415,WEBPXTICK_DT-20111019.gz,20111019
416,WEBPXTICK_DT-20111018.gz,20111018
417,WEBPXTICK_DT-20111017.gz,20111017
418,WEBPXTICK_DT-20111014.gz,20111014
419,WEBPXTICK_DT-20111013.gz,20111013
420,WEBPXTICK_DT-20111012.gz,20111012
421,WEBPXTICK_DT-20111011.gz,20111011
422,WEBPXTICK_DT-20111010.gz,20111010
423,WEBPXTICK_DT-20111007.gz,20111007
424,WEBPXTICK_DT-20111006.gz,20111006
425,WEBPXTICK_DT-20111005.gz,20111005
426,WEBPXTICK_DT-20111004.gz,20111004
427,WEBPXTICK_DT-20111003.gz,20111003
428,WEBPXTICK_DT-20110930.gz,20110930
429,WEBPXTICK_DT-20110929.gz,20110929
430,WEBPXTICK_DT-20110928.gz,20110928
431,WEBPXTICK_DT-20110927.gz,20110927
432,WEBPXTICK_DT-20110926.gz,20110926
433,WEBPXTICK_DT-20110923.gz,20110923
434,WEBPXTICK_DT-20110922.gz,20110922
435,WEBPXTICK_DT-20110921.gz,20110921
436,WEBPXTICK_DT-20110920.gz,20110920
437,WEBPXTICK_DT-20110919.gz,20110919
438,WEBPXTICK_DT-20110916.gz,20110916
439,WEBPXTICK_DT-20110915.gz,20110915
440,WEBPXTICK_DT-20110914.gz,20110914
441,WEBPXTICK_DT-20110913.gz,20110913
442,WEBPXTICK_DT-20110912.gz,20110912
443,WEBPXTICK_DT-20110909.gz,20110909
444,WEBPXTICK_DT-20110908.gz,20110908
445,WEBPXTICK_DT-20110907.gz,20110907
446,WEBPXTICK_DT-20110906.gz,20110906
447,WEBPXTICK_DT-20110905.gz,20110905
448,WEBPXTICK_DT-20110902.gz,20110902
449,WEBPXTICK_DT-20110901.gz,20110901
450,WEBPXTICK_DT-20110831.gz,20110831
451,WEBPXTICK_DT-20110830.gz,20110830
452,WEBPXTICK_DT-20110829.gz,20110829
453,WEBPXTICK_DT-20110826.gz,20110826
454,WEBPXTICK_DT-20110825.gz,20110825
455,WEBPXTICK_DT-20110824.gz,20110824
456,WEBPXTICK_DT-20110823.gz,20110823
457,WEBPXTICK_DT-20110822.gz,20110822
458,WEBPXTICK_DT-20110819.gz,20110819
459,WEBPXTICK_DT-20110818.gz,20110818
460,WEBPXTICK_DT-20110817.gz,20110817
461,WEBPXTICK_DT-20110816.gz,20110816
462,WEBPXTICK_DT-20110815.gz,20110815
463,WEBPXTICK_DT-20110812.gz,20110812
464,WEBPXTICK_DT-20110811.gz,20110811
465,WEBPXTICK_DT-20110810.gz,20110810
466,WEBPXTICK_DT-20110809.gz,20110809
467,WEBPXTICK_DT-20110808.gz,20110808
468,WEBPXTICK_DT-20110805.gz,20110805
469,WEBPXTICK_DT-20110804.gz,20110804
470,WEBPXTICK_DT-20110803.gz,20110803
471,WEBPXTICK_DT-20110802.gz,20110802
472,WEBPXTICK_DT-20110801.gz,20110801
473,WEBPXTICK_DT-20110729.gz,20110729
474,WEBPXTICK_DT-20110728.gz,20110728
475,WEBPXTICK_DT-20110727.gz,20110727
476,WEBPXTICK_DT-20110726.gz,20110726
477,WEBPXTICK_DT-20110725.gz,20110725
478,WEBPXTICK_DT-20110722.gz,20110722
479,WEBPXTICK_DT-20110721.gz,20110721
480,WEBPXTICK_DT-20110720.gz,20110720
481,WEBPXTICK_DT-20110719.gz,20110719
482,WEBPXTICK_DT-20110718.gz,20110718
483,WEBPXTICK_DT-20110715.gz,20110715
484,WEBPXTICK_DT-20110714.gz,20110714
485,WEBPXTICK_DT-20110714.gz,20110714
486,WEBPXTICK_DT-20110713.gz,20110713
487,WEBPXTICK_DT-20110712.gz,20110712
488,WEBPXTICK_DT-20110711.gz,20110711
489,WEBPXTICK_DT-20110708.gz,20110708
490,WEBPXTICK_DT-20110707.gz,20110707
491,WEBPXTICK_DT-20110706.gz,20110706
492,WEBPXTICK_DT-20110705.gz,20110705
493,WEBPXTICK_DT-20110704.gz,20110704
494,WEBPXTICK_DT-20110701.gz,20110701
